name,state,par_mean,par_median
Cochise College,AZ,60835.64142608643,51600
Coconino County Community College,AZ,85217.231527879,68500
Coe College,IA,138284.527891731,90600
Coffeyville Community College,KS,52326.55859375,40700
Coker College,SC,78650.54427083333,59000
Colby College,ME,418072.8774576271,208700
Colby Community College,KS,63084.84336165935,57600
Colby-Sawyer College,NH,170401.6362075929,99400
Colgate University,NY,522975.6131383384,208900
College For Creative Studies,MI,145763.0598479039,98300
College Of Central Florida,FL,70597.18126079957,54100
College Of Charleston,SC,208335.5537393542,119500
College Of Coastal Georgia,GA,70369.78358612185,64400
College Of Du Page,IL,104929.1552098573,85900
College Of Health Care Professions ,TX,44729.16927083334,35200
College Of Idaho ,ID,123050.6380208333,92200
College Of Lake County,IL,109431.4580759355,88400
College Of Marin,CA,118352.052375592,82000
College Of Mount Saint Joseph,OH,133300.6562677759,88500
College Of Mount Saint Vincent And Manhattan College,NY,130125.5442708333,94800
College Of New Jersey ,NJ,140408.1488475996,122300
College Of New Rochelle ,NY,53121.07918074324,40400
College Of Our Lady Of The Elms,MA,91490.27621406794,87500
College Of Saint Benedict,MN,150242.8078241604,106800
College Of Saint Elizabeth,NJ,97344.61196453653,75200
College Of Saint Rose,NY,100367.3220492697,91000
College Of Saint Scholastica,MN,102990.15625,87700
College Of Southern Idaho,ID,65010.2815641756,56900
College Of Southern Maryland,MD,96132.38765386968,90600
College Of Southern Nevada,NV,83522.43611256202,66800
College Of Staten Island/CUNY,NY,85456.88343803563,73500
College Of The Albemarle,NC,63908.70497375954,52000
College Of The Canyons,CA,103185.4908580093,88200
College Of The Desert,CA,59464.92464661432,44900
College Of The Holy Cross,MA,294562.280625,157000
College Of The Mainland,TX,75046.44954159825,68700
College Of The Ouachitas,AR,61094.48576046798,53000
College Of The Ozarks,MO,58892.23307291666,49200
College Of The Redwoods,CA,71567.55342292189,59900
College Of The Sequoias,CA,66608.21152779089,51500
College Of The Siskiyous,CA,85761.71080163044,57500
College Of Westchester ,NY,73597.453125,55800
College Of William & Mary,VA,208657.8585371774,147100
College Of Wooster ,OH,169626.4078757943,108100
CollegeAmerica Denver,CO,54268.69576744477,43500
Collin County Community College,TX,117859.7836129362,95000
Colorado Christian University,CO,156218.5989583333,98600
Colorado College,CO,344930.6794966997,154600
Colorado Mesa University,CO,91094.41488033748,75800
Colorado Mountain College,CO,125855.6802652733,79400
Colorado Northwestern Community College,CO,78010.27745555073,72900
Colorado School Of Mines,CO,138417.3189798991,111500
Colorado State University,CO,167637.0132171871,115400
Colorado State University-Pueblo,CO,85255.34114583333,72300
Colorado Technical University,CO,63589.87501491884,52300
Columbia - Greene Community College - SUNY Office Of Cmnty Colleg,NY,73355.765625,64600
Columbia Basin College,WA,89138.51077854547,77500
"Columbia College of Chicago, IL",IL,133648.8095462734,85100
"Columbia College of Columbia, MO",MO,79430.4741334911,61700
"Columbia College of Columbia, SC",SC,87105.71192213327,62600
Columbia Gorge Community College,OR,64630.11848958334,59100
Columbia International University,SC,75192.91666666667,71700
Columbia State Community College,TN,82924.71682718332,74300
Columbia University In The City Of New York,NY,372277.272175529,169600
Columbus College Of Art & Design,OH,102307.46875,81800
Columbus State Community College,OH,89415.25685308277,72400
Columbus State University,GA,89221.06938861514,72600
Columbus Technical College,GA,57362.82623697917,41500
Community College Of Allegheny County,PA,78478.31130585432,66100
Community College Of Baltimore County,MD,90746.70168346408,71600
Community College Of Beaver County,PA,76014.9375,68500
Community College Of Philadelphia,PA,56646.52372115199,43600
Community College Of Rhode Island,RI,74518.0058728787,64600
Concord University,WV,75027.89980455756,66800
Concordia College - Moorhead,MN,118527.4562107496,86400
Concordia University - Saint Paul,MN,92246.76323512968,77900
Concordia University - Wisconsin,WI,92678.25979081183,79300
Concordia University Texas,TX,112917.8802083333,91300
